date,price
4/24/2017,33.904781
4/25/2017,34.114868
4/26/2017,33.914227
4/27/2017,33.940193
4/28/2017,33.907135
5/1/2017,34.598751
5/2/2017,34.818245
5/3/2017,34.712044
5/4/2017,34.586937
5/5/2017,35.160511
5/8/2017,36.11647
5/9/2017,36.347797
5/10/2017,36.175488
5/11/2017,36.488335
5/12/2017,36.997929
5/15/2017,36.903118
5/16/2017,36.848606
5/17/2017,35.611393
5/18/2017,36.154152
5/19/2017,36.277401
5/22/2017,36.497814
5/23/2017,36.452797
5/24/2017,36.343761
5/25/2017,36.469383
5/26/2017,36.407757
5/30/2017,36.421974
5/31/2017,36.206306
6/1/2017,36.305836
6/2/2017,36.843876
6/5/2017,36.483604
6/6/2017,36.606846
6/7/2017,36.824909
6/8/2017,36.73484
6/9/2017,35.310383
6/12/2017,34.466618
6/13/2017,34.743916
6/14/2017,34.404991
6/15/2017,34.198784
6/16/2017,33.720013
6/19/2017,34.684662
6/20/2017,34.369431
6/21/2017,34.573265
6/22/2017,34.516396
6/23/2017,34.670441
6/26/2017,34.561413
6/27/2017,34.066059
6/28/2017,34.563789
6/29/2017,34.054203
6/30/2017,34.134796
7/3/2017,34.011543
7/5/2017,34.151382
7/6/2017,33.829044
7/7/2017,34.172707
7/10/2017,34.38129
7/11/2017,34.492683
7/12/2017,34.542461
7/13/2017,35.02359
7/14/2017,35.324604
7/17/2017,35.447857
7/18/2017,35.571106
7/19/2017,35.7939
7/20/2017,35.632713
7/21/2017,35.616119
7/24/2017,36.047501
7/25/2017,36.201561
7/26/2017,36.372208
7/27/2017,35.68486
7/28/2017,35.433624
7/31/2017,35.251133
8/1/2017,35.563984
8/2/2017,37.244415
8/3/2017,36.872307
8/4/2017,37.066666
8/7/2017,37.640236
8/8/2017,37.941246
8/9/2017,38.173515
8/10/2017,36.957623
8/11/2017,37.471577
8/14/2017,38.035511
8/15/2017,38.451912
8/16/2017,38.297253
8/17/2017,37.562008
8/18/2017,37.476337
8/21/2017,37.407341
8/22/2017,38.018852
8/23/2017,38.066448
8/24/2017,37.897503
8/25/2017,38.037884
8/28/2017,38.420986
8/29/2017,38.763622
8/30/2017,38.86832
8/31/2017,39.022984
9/1/2017,39.034878
9/5/2017,38.56612
9/6/2017,38.525673
9/7/2017,38.37101
9/8/2017,37.745209
9/11/2017,38.428112
9/12/2017,38.275829
9/13/2017,37.987915
9/14/2017,37.661938
9/15/2017,38.042648
9/18/2017,37.754723
9/19/2017,37.769016
9/20/2017,37.136082
9/21/2017,36.49839
9/22/2017,36.141468
9/25/2017,35.822628
9/26/2017,36.438896
9/27/2017,36.698254
9/28/2017,36.472214
9/29/2017,36.672089
10/2/2017,36.59832
10/3/2017,36.757755
10/4/2017,36.519802
10/5/2017,36.974277
10/6/2017,36.952858
10/9/2017,37.081345
10/10/2017,37.095627
10/11/2017,37.250294
10/12/2017,37.119419
10/13/2017,37.354988
10/16/2017,38.042648
10/17/2017,38.183037
10/18/2017,38.014099
10/19/2017,37.114666
10/20/2017,37.178905
10/23/2017,37.159874
10/24/2017,37.381165
10/25/2017,37.216972
10/26/2017,37.454922
10/27/2017,38.796936
10/30/2017,39.670197
10/31/2017,40.222229
11/1/2017,39.710648
11/2/2017,40.000931
11/3/2017,41.045521
11/6/2017,41.461918
11/7/2017,41.595158
11/8/2017,41.935432
11/9/2017,41.84977
11/10/2017,41.711258
11/13/2017,41.544106
11/14/2017,40.916054
11/15/2017,40.376369
11/16/2017,40.858746
11/17/2017,40.631882
11/20/2017,40.59129
11/21/2017,41.345901
11/22/2017,41.780525
11/24/2017,41.782906
11/27/2017,41.572762
11/28/2017,41.329182
11/29/2017,40.471889
11/30/2017,41.037842
12/1/2017,40.846802
12/4/2017,40.548298
12/5/2017,40.510101
12/6/2017,40.359653
12/7/2017,40.433685
12/8/2017,40.445629
12/11/2017,41.233654
12/12/2017,41.002029
12/13/2017,41.138145
12/14/2017,41.126209
12/15/2017,41.544106
12/18/2017,42.129166
12/19/2017,41.680222
12/20/2017,41.634846
12/21/2017,41.79245
12/22/2017,41.79245
12/26/2017,40.732185
12/27/2017,40.739346
12/28/2017,40.853958
12/29/2017,40.412193
1/2/2018,41.135757
1/3/2018,41.128582
1/4/2018,41.319626
1/5/2018,41.790066
1/8/2018,41.634846
1/9/2018,41.63007
1/10/2018,41.620518
1/11/2018,41.85693
1/12/2018,42.289158
1/16/2018,42.074226
1/17/2018,42.769146
1/18/2018,42.807358
1/19/2018,42.616322
1/22/2018,42.267666
1/23/2018,42.277225
1/24/2018,41.603806
1/25/2018,40.861137
1/26/2018,40.956654
1/29/2018,40.10891
1/30/2018,39.872505
1/31/2018,39.982353
2/1/2018,40.065929
2/2/2018,38.327461
2/5/2018,37.369869
2/6/2018,38.931622
2/7/2018,38.098213
2/8/2018,37.049877
2/9/2018,37.503052
2/12/2018,39.013626
2/13/2018,39.404461
2/14/2018,40.130974
2/15/2018,41.478497
2/16/2018,41.344238
2/20/2018,41.205158
2/21/2018,41.018139
2/22/2018,41.361023
2/23/2018,42.080338
2/26/2018,42.912357
2/27/2018,42.773289
2/28/2018,42.708549
3/1/2018,41.960449
3/2/2018,42.250584
3/5/2018,42.396843
3/6/2018,42.36087
3/7/2018,41.967644
3/8/2018,42.425617
3/9/2018,43.154522
3/12/2018,43.571735
3/13/2018,43.152134
3/14/2018,42.785263
3/15/2018,42.835629
3/16/2018,42.68457
3/19/2018,42.032383
3/20/2018,42.017998
3/21/2018,41.066093
3/22/2018,40.485844
3/23/2018,39.548321
3/26/2018,41.425762
3/27/2018,40.363564
3/28/2018,39.917572
3/29/2018,40.229282
4/2/2018,39.965527
4/3/2018,40.375549
4/4/2018,41.147614
4/5/2018,41.432953
4/6/2018,40.37315
4/9/2018,40.773571
4/10/2018,41.540833
4/11/2018,41.34663
4/12/2018,41.754238
4/13/2018,41.895718
4/16/2018,42.157078
4/17/2018,42.737324
4/18/2018,42.641403
4/19/2018,41.432953
4/20/2018,39.735348
4/23/2018,39.620255
4/24/2018,39.068771
4/25/2018,39.239014
4/26/2018,39.375687
4/27/2018,38.920124
4/30/2018,39.62505
5/1/2018,40.545784
5/2/2018,42.336899
5/3/2018,42.413624
5/4/2018,44.077656
5/7/2018,44.396557
5/8/2018,44.609943
5/9/2018,44.924061
5/10/2018,45.56665
5/11/2018,45.393349
5/14/2018,45.287437
5/15/2018,44.875851
5/16/2018,45.294662
5/17/2018,45.008232
5/18/2018,44.844551
5/21/2018,45.162281
5/22/2018,45.049152
5/23/2018,45.337994
5/24/2018,45.287437
5/25/2018,45.390949
5/29/2018,45.227264
5/30/2018,45.130989
5/31/2018,44.979343
6/1/2018,45.790501
6/4/2018,46.17321
6/5/2018,46.529449
6/6/2018,46.690708
6/7/2018,46.565556
6/8/2018,46.141922
6/11/2018,46.028786
6/12/2018,46.281528
6/13/2018,45.901215
6/14/2018,45.925297
6/15/2018,45.453522
6/18/2018,45.429459
6/19/2018,44.69532
6/20/2018,44.890285
6/21/2018,44.639965
6/22/2018,44.509983
6/25/2018,43.848061
6/26/2018,44.392033
6/27/2018,44.327057
6/28/2018,44.649593
6/29/2018,44.555714
7/2/2018,45.053963
7/3/2018,44.269291
7/5/2018,44.625515
7/6/2018,45.244122
7/9/2018,45.87233
7/10/2018,45.816986
7/11/2018,45.22245
7/12/2018,45.980648
7/13/2018,46.05286
7/16/2018,45.951767
7/17/2018,46.081741
7/18/2018,45.829002
7/19/2018,46.185253
7/20/2018,46.079342
7/23/2018,46.120255
7/24/2018,46.454834
7/25/2018,46.892899
7/26/2018,46.746082
7/27/2018,45.96862
7/30/2018,45.711075
7/31/2018,45.80254
8/1/2018,48.500771
8/2/2018,49.91848
8/3/2018,50.062901
8/6/2018,50.322853
8/7/2018,49.851086
8/8/2018,49.884789
8/9/2018,50.277126
8/10/2018,50.127361
8/13/2018,50.451042
8/14/2018,50.663593
8/15/2018,50.781948
8/16/2018,51.525906
8/17/2018,52.554878
8/20/2018,52.042805
8/21/2018,51.941357
8/22/2018,51.943771
8/23/2018,52.050053
8/24/2018,52.21188
8/27/2018,52.64183
8/28/2018,53.066944
8/29/2018,53.8592
8/30/2018,54.354366
8/31/2018,54.982384
9/4/2018,55.15871
9/5/2018,54.798805
9/6/2018,53.888195
9/7/2018,53.453415
9/10/2018,52.736031
9/11/2018,54.069351
9/12/2018,53.397858
9/13/2018,54.687695
9/14/2018,54.066929
9/17/2018,52.627342
9/18/2018,52.714291
9/19/2018,52.745689
9/20/2018,53.146652
9/21/2018,52.5742
9/24/2018,53.330223
9/25/2018,53.668385
9/26/2018,53.24086
9/27/2018,54.335041
9/28/2018,54.52586
10/1/2018,54.893013
10/2/2018,55.380917
10/3/2018,56.054825
10/4/2018,55.069332
10/5/2018,54.175621
10/8/2018,54.05003
10/9/2018,54.798805
10/10/2018,52.260189
10/11/2018,51.79884
10/12/2018,53.649063
10/15/2018,52.50174
10/16/2018,53.658726
10/17/2018,53.426838
10/18/2018,52.17807
10/19/2018,52.972736
10/22/2018,53.296406
10/23/2018,53.798813
10/24/2018,51.953434
10/25/2018,53.091099
10/26/2018,52.245697
10/29/2018,51.265034
10/30/2018,51.521069
10/31/2018,52.864052
11/1/2018,53.675636
11/2/2018,50.115292
11/5/2018,48.692608
11/6/2018,49.219166
11/7/2018,50.711899
11/8/2018,50.534962
11/9/2018,49.56057
11/12/2018,47.063995
11/13/2018,46.593769
11/14/2018,45.277618
11/15/2018,46.395016
11/16/2018,46.908871
11/19/2018,45.049774
11/20/2018,42.897396
11/21/2018,42.848923
11/23/2018,41.760605
11/26/2018,42.325363
11/27/2018,42.233257
11/28/2018,43.857243
11/29/2018,43.520325
11/30/2018,43.285206
12/3/2018,44.797691
12/4/2018,42.827103
12/6/2018,42.349609
12/7/2018,40.839542
12/10/2018,41.108585
12/11/2018,40.87347
12/12/2018,40.987396
12/13/2018,41.435814
12/14/2018,40.109951
12/17/2018,39.736687
12/18/2018,40.252972
12/19/2018,38.997406
12/20/2018,38.013321
12/21/2018,36.534771
12/24/2018,35.589474
12/26/2018,38.095737
12/27/2018,37.848503
12/28/2018,37.867893
12/31/2018,38.233898
1/2/2019,38.277531
1/3/2019,34.464802
1/4/2019,35.936069
1/7/2019,35.856091
1/8/2019,36.539612
1/9/2019,37.160126
1/10/2019,37.278889
1/11/2019,36.912895
1/14/2019,36.357826
1/15/2019,37.101955
1/16/2019,37.555218
1/17/2019,37.77821
1/18/2019,38.010906
1/22/2019,37.1577
1/23/2019,37.307983
1/24/2019,37.012272
1/25/2019,38.238739
1/28/2019,37.884861
1/29/2019,37.492191
1/30/2019,40.054211
1/31/2019,40.342648
2/1/2019,40.362034
2/4/2019,41.508526
2/5/2019,42.218716
2/6/2019,42.233257
2/7/2019,41.433384
2/8/2019,41.482071
2/11/2019,41.243511
2/12/2019,41.598919
2/13/2019,41.426083
2/14/2019,41.577007
2/15/2019,41.484509
2/19/2019,41.60865
2/20/2019,41.876408
2/21/2019,41.640285
2/22/2019,42.105232
2/25/2019,42.411953
2/26/2019,42.436295
2/27/2019,42.567745
2/28/2019,42.149052
3/1/2019,42.592087
3/4/2019,42.806301
3/5/2019,42.728409
3/6/2019,42.482544
3/7/2019,41.990826
3/8/2019,42.090633
3/11/2019,43.548748
3/12/2019,44.038033
3/13/2019,44.23278
3/14/2019,44.724491
3/15/2019,45.306278
3/18/2019,45.768784
3/19/2019,45.406078
3/20/2019,45.802864
3/21/2019,47.489799
3/22/2019,46.506363
3/25/2019,45.944054
3/26/2019,45.469372
3/27/2019,45.878326
3/28/2019,45.939186
3/29/2019,46.238594
4/1/2019,46.552616
4/2/2019,47.229336
4/3/2019,47.553089
4/4/2019,47.635853
4/5/2019,47.954739
4/8/2019,48.709358
4/9/2019,48.563305
4/10/2019,48.835945
4/11/2019,48.429424
4/12/2019,48.409939
4/15/2019,48.497578
4/16/2019,48.502449
4/17/2019,49.446941
4/18/2019,49.624641
4/22/2019,49.787739
4/23/2019,50.505836
4/24/2019,50.42794
4/25/2019,49.970306
4/26/2019,49.731743
4/29/2019,49.807209
4/30/2019,48.848114
5/1/2019,51.245846
5/2/2019,50.912354
5/3/2019,51.545261
5/6/2019,50.749256
5/7/2019,49.38121
5/8/2019,49.390945
5/9/2019,48.860283
5/10/2019,48.183403
5/13/2019,45.383007
5/14/2019,46.101437
5/15/2019,46.653683
5/16/2019,46.448425
5/17/2019,46.184517
5/20/2019,44.74033
5/21/2019,45.598042
5/22/2019,44.664581
5/23/2019,43.902172
5/24/2019,43.733555
5/28/2019,43.552727
5/29/2019,43.345016
5/30/2019,43.569843
5/31/2019,42.780552
6/3/2019,42.348022
6/4/2019,43.897282
6/5/2019,44.60593
6/6/2019,45.260826
6/7/2019,46.465523
6/10/2019,47.059334
6/11/2019,47.604263
6/12/2019,47.452755
6/13/2019,47.442978
6/14/2019,47.098434
6/17/2019,47.37944
6/18/2019,48.493732
6/19/2019,48.352013
6/20/2019,48.740543
6/21/2019,48.574383
6/24/2019,48.525505
6/25/2019,47.789982
6/26/2019,48.82362
6/27/2019,48.808968
6/28/2019,48.364223
7/1/2019,49.25127
7/2/2019,49.539612
7/3/2019,49.950146
7/5/2019,49.906151
7/8/2019,48.877392
7/9/2019,49.175514
7/10/2019,49.661785
7/11/2019,49.300129
7/12/2019,49.678898
7/15/2019,50.14563
7/16/2019,49.972137
7/17/2019,49.691116
7/18/2019,50.255589
7/19/2019,49.505398
7/22/2019,50.636799
7/23/2019,51.032669
7/24/2019,50.991127
7/25/2019,50.587925
7/26/2019,50.763866
7/29/2019,51.237923
7/30/2019,51.018005
7/31/2019,52.05899
8/1/2019,50.932472
8/2/2019,49.854836
8/5/2019,47.245045
8/6/2019,48.139412
8/7/2019,48.637917
8/8/2019,49.710667
8/9/2019,49.301025
8/12/2019,49.17593
8/13/2019,51.258442
8/14/2019,49.732738
8/15/2019,49.484997
8/16/2019,50.652584
8/19/2019,51.596958
8/20/2019,51.599407
8/21/2019,52.158676
8/22/2019,52.114517
8/23/2019,49.705757
8/26/2019,50.650131
8/27/2019,50.078606
8/28/2019,50.41465
8/29/2019,51.268261
8/30/2019,51.202038
9/3/2019,50.456348
9/4/2019,51.31242
9/5/2019,52.315651
9/6/2019,52.310749
9/9/2019,52.533966
9/10/2019,53.154552
9/11/2019,54.844608
9/12/2019,54.721962
9/13/2019,53.657394
9/16/2019,53.939476
9/17/2019,54.135715
9/18/2019,54.643471
9/19/2019,54.199493
9/20/2019,53.4072
9/23/2019,53.65004
9/24/2019,53.394932
9/25/2019,54.216656
9/26/2019,53.937027
9/27/2019,53.674572
9/30/2019,54.937817
10/1/2019,55.089893
10/2/2019,53.708908
10/3/2019,54.165154
10/4/2019,55.683502
10/7/2019,55.695763
10/8/2019,55.043289
10/9/2019,55.688404
10/10/2019,56.438992
10/11/2019,57.940178
10/14/2019,57.856781
10/15/2019,57.721867
10/16/2019,57.488842
10/17/2019,57.712059
10/18/2019,57.989235
10/21/2019,58.994923
10/22/2019,58.860023
10/23/2019,59.649857
10/24/2019,59.747967
10/25/2019,60.483849
10/28/2019,61.08971
10/29/2019,59.67683
10/30/2019,59.669476
10/31/2019,61.018578
11/1/2019,62.750332
11/4/2019,63.162426
11/5/2019,63.071671
